city_name,consultation_count
Paris,151
Breux-Jouy,1
Bréançon,1
Avon-les-Roches,2
Bordeaux,1
"Le Raincy",1
"Le Mesnil-Amelot",3
Vanves,1
Cergy,3
Auve,1
Brignais,1
Lyon,2
Auberive,1
Butry-sur-Oise,1
Rosny-sous-Bois,3
Amblans-et-Velotte,1
Autrey,2
Nice,1
Marnans,1
Nanterre,4
Bouchamps-lès-Craon,1
"’Aïn Benian",1
Levallois-Perret,21
Bailleul-la-Vallée,1
"le mensil amellot",2
"le mensil amellote",1
"le mensil amellotehh",1
fariza,3
Bazoches-lès-Bray,1
hdhhhd,1
Levallois-dc,1
dchjxsbjs,1
sabina,1
Herblay,7
alger,1
Ambricourt,20
Beaugency,21
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
Assis-sur-Serre,1
Campoussy,35
Auchy-lez-Orchies,30
Buxières-d,28
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
Bourgueil,2
Calce,68
Achères-la-Forêt,25
Beaucoudray,1
Availles-Limouzine,7
Botmeur,1
Beaucouzé,3
Arrens-Marsous,1
Mantes-la-Jolie,1
Benais,18
